Subj,Group,TimeNearStimulus,TimeFarStimulus,AbsoluteTurnAngle,Speed
P1,1 conspecific,244.471877,109.336608,16.63258271,5.699855352
P2,3 conspecifics,146.644081,292.430549,23.05214903,5.14835579555556
P3,3 conspecifics,282.886209,175.370302,24.93273546,4.71381053776978
P4,1 conspecific,152.0494,262.954108,25.56046195,5.50036183639706
P5,3 conspecifics,266.609499,257.958262,18.03799077,4.05127136242884
P6,1 conspecific,381.010279,114.744728,17.98319485,3.55943017269076
P7,1 conspecific,39.598091,453.003995,15.83109026,4.22015554508197
P8,3 conspecifics,39.780527,114.425569,20.15457333,4.38853844162437
P9,3 conspecifics,269.468926,9.047243,22.57198384,2.34564701587302
P10,3 conspecifics,162.741725,246.926538,21.95369986,2.91465728850856
P11,1 conspecific,241.598413,129.200031,18.6948994,4.1476120148423
P12,1 conspecific,87.921239,305.522262,22.33065398,4.36370667991632
P13,3 conspecifics,156.415424,382.21664,21.33603038,4.45637706751825
P14,1 conspecific,143.457477,273.150101,16.50181314,3.391110893
P15,1 conspecific,410.041153,105.820001,20.2648392,3.62372042
P16,1 conspecific,232.922167,200.468968,20.38879892,4.164787989
P17,3 conspecifics,364.532829,94.352524,23.38373202,5.239481039
P18,1 conspecific,73.354562,331.864589,19.18338009,4.02884409
P19,1 conspecific,226.623411,176.530465,3.692111765,20.02795373
P20,1 conspecific,178.26325,254.210594,19.56408923,5.461510492
P21,3 conspecifics,107.561017,357.152865,24.2126267,5.222918059
P22,3 conspecifics,11.571429,337.182633,18.95775941,2.951266049
P23,3 conspecifics,556.383333,0,3.894826075,22.19859169
P24,3 conspecifics,152.184773,308.802008,23.60058066,3.11242005
