Subject,Group,TimeNewStranger,TimeOldStranger,AbsoluteTurnAngle,Speed
A1,1 vs 1,280.402674796129,319.597325203871,15.1721326009811,7.25020770052151
A2,1 vs 1,297.907578667819,302.092421332181,19.0029507764687,7.85482199277416
A3,1 vs 1,459.323679174315,140.676320825685,14.3032924976072,6.10082417313565
A4,1 vs 1,379.354995544954,220.645004455046,10.4511385047878,9.01325710519306
A5,1 vs 1,431.371416858523,168.628583141477,9.42723694080608,2.59052512022524
A6,1 vs 1,323.270218270623,276.729781729377,35.4387525752136,8.26695770735663
A7,1 vs 1,336.664991847991,263.335008152009,16.4739131183282,2.94834883672336
A8,1 vs 1,305.474669031625,294.525330968375,35.5909320488918,2.67674701525144
A9,1 vs 1,258.868265586927,341.131734413073,20.1619103932126,1.06294014159969
A10,1 vs 1,328.02362301898,271.976376981019,28.660372775166,1.08840126810012
A11,1 vs 1,280.320463612457,319.679536387543,19.0933276615658,8.60556379192453
A12,1 vs 1,267.069041809948,332.930958190052,6.89078923772278,6.18919885339995
B1,3 vs 1,153.38317931469,446.61682068531,27.6552634246131,3.68809611418729
B2,3 vs 1,263.047846846056,336.952153153944,28.0793363432531,10.805119712627
B3,3 vs 1,213.308398072282,386.691601927718,7.92088269598037,5.62671395429688
B4,3 vs 1,258.886383023824,341.113616976176,5.45477386608211,2.24571767604836
B5,3 vs 1,443.835304238668,156.164695761332,27.0384519269087,3.35814321901085
B6,3 vs 1,391.918726993746,208.081273006254,29.2579507713588,10.894742010502
B7,3 vs 1,345.794698215478,254.205301784522,9.62432080636695,0.632897701179179
B8,3 vs 1,325.82848548608,274.17151451392,22.5870350982158,8.73753027171518
B9,3 vs 1,441.912903346745,158.087096653255,13.3728123635738,8.54248546492139
B10,3 vs 1,277.94236983984,322.05763016016,23.0589342136118,3.92688506099866
B11,3 vs 1,401.187326384229,198.812673615771,28.8382927762605,7.69914222742864
B12,3 vs 1,397.30045726769,202.69954273231,27.7454565170133,6.36866792431812
