Subj,Group,Day,TimeNearStimulus,TimeFarStimulus,AbsoluteTurnAngle,Speed
P1,L,1,177.788992,199.246691,25.46277332,4.493565577
P2,L,1,310.76284,173.921675,20.36671364,4.216666536
P3,R,1,561.909091,0,18.84502836,4.420037315
P4,R,1,319.639622,199.10716,21.06166086,4.626993226
P5,L,1,21.539844,485.756435,23.24623475,5.281297521
P6,R,1,493.012508,10.273811,25.30459259,4.745980679
P7,L,1,63.295439,252.755638,19.03880925,3.503870778
P8,L,1,103.131643,325.84821,21.33029727,4.042907144
P9,R,1,125.754603,204.782756,23.11036274,3.346973544
P10,R,1,460.654363,61.741858,26.40662033,3.911457409
P11,L,1,113.375168,368.78571,21.53531756,5.430822021
P12,R,1,264.223137,97.78389,24.56043199,3.815096236
P1,L,2,325.260717,161.413459,23.25160635,4.930315405
P2,R,2,44.833333,467.597789,19.32742401,4.088378048
P3,L,2,559.374157,0,24.08520079,5.889294638
P4,R,2,167.186226,221.47895,24.76401781,4.35537348
P5,L,2,196.857158,203.041657,23.95358816,3.534214486
P6,L,2,113.606042,251.680123,17.26784427,3.575002057
P7,R,2,144.187986,183.203952,19.91781195,3.373308279
P8,R,2,329.339335,139.944961,31.68040389,4.399347501
P9,R,2,28.063837,505.617133,24.52083919,3.567319174
P10,L,2,331.876056,165.128717,27.47382871,3.735801799
P11,R,2,199.045836,309.270948,23.17581089,5.194587389
P12,L,2,147.649182,298.782974,18.56344859,4.798703178
P1,R,3,181.780131,231.357812,26.14275644,5.36682642
P2,L,3,171.886431,299.443219,21.22739953,4.300589991
P3,L,3,5,556.608696,19.75398529,6.098416234
P4,R,3,278.852037,185.808142,22.10194974,4.293362611
P5,L,3,109.450427,437.574947,20.10793326,3.48491264
P6,R,3,140.941353,328.734885,20.59289965,4.313111961
P7,L,3,118.161519,203.17146,18.65085023,3.288408564
P8,R,3,276.73993,136.720826,31.71123651,4.80288973
P9,R,3,65.288609,246.546575,17.88953786,2.819924094
P10,L,3,23.25,0,23.30322295,3.687921545
P11,L,3,395.580496,136.556597,22.11634049,4.745341366
P12,R,3,107.880078,191.18376,16.45558008,3.138210978
